Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level
FORTUNE CENTRE,MIDDLE ROAD,Retail,"1,200,000",247.57,"4,847",Dec-19,Strata,23,"52,174",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",01 to 05
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,"1,228,000",516.67,"2,377",Dec-19,Strata,48,"25,583",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05
LOFT @ NATHAN,RIVER VALLEY ROAD,Retail,"3,968,000","1,302.44","3,047",Dec-19,Strata,121,"32,793",Freehold,10," Ardmore, Bukit Timah, Holland Road, Tanglin",01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Retail,"2,280,000",462.85,"4,926",Dec-19,Strata,43,"53,023",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",01 to 05
LE SOMME,SOMME ROAD,Retail,"1,030,000",430.56,"2,392",Dec-19,Strata,40,"25,750",Freehold,8, Little India,01 to 05
LUCKY PLAZA,ORCHARD ROAD,Retail,"2,588,000",645.84,"4,007",Dec-19,Strata,60,"43,133",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05
FURAMA CITY CENTRE SINGAPORE,EU TONG SEN STREET,Retail,"1,200,000",365.98,"3,279",Nov-19,Strata,34,"35,294",99 yrs lease commencing from 1979,1," Raffles Place, Cecil, Marina, People's Park",01 to 05
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,"2,000,000",785.77,"2,545",Nov-19,Strata,73,"27,397",103 yrs lease commencing from 1982,7," Middle Road, Golden Mile",01 to 05
LUCKY PLAZA,ORCHARD ROAD,Retail,"8,500,000",505.91,"16,801",Nov-19,Strata,47,"180,851",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05
LUCKY PLAZA,ORCHARD ROAD,Retail,"9,500,000",796.54,"11,927",Nov-19,Strata,74,"128,378",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Retail,"350,000",204.52,"1,711",Nov-19,Strata,19,"18,421",Freehold,19," Serangoon Garden, Hougang, Punggol",01 to 05
SIM LIM TOWER,JALAN BESAR,Retail,"698,000",290.63,"2,402",Nov-19,Strata,27,"25,852",Freehold,8, Little India,01 to 05
ICON@CHANGI,CHANGI ROAD,Retail,"288,000",129.17,"2,230",Nov-19,Strata,12,"24,000",Freehold,14," Geylang, Eunos",B1 to B5
LE REGAL,GEYLANG ROAD,Retail,"360,000",161.46,"2,230",Nov-19,Strata,15,"24,000",Freehold,14," Geylang, Eunos",01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Retail,"1,538,000",419.8,"3,664",Nov-19,Strata,39,"39,436",99 yrs lease commencing from 1997,7," Middle Road, Golden Mile",01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,"920,000",333.68,"2,757",Nov-19,Strata,31,"29,677",Freehold,15," Katong, Joo Chiat, Amber Road",B1 to B5
CITY PLAZA,GEYLANG ROAD,Retail,"880,000",226.04,"3,893",Nov-19,Strata,21,"41,905",Freehold,14," Geylang, Eunos",01 to 05
THE STAR,VISTA EXCHANGE GREEN,Retail,"296,000,000","215,021.66","1,377",Nov-19,Strata,"19,976","14,818",60 yrs lease commencing from 2007,5," Pasir Panjang, Hong Leong Garden, Clementi New Town",01 to 05
ROBINSON SQUARE,ROBINSON ROAD,Retail,"2,350,000","1,184.04","1,985",Nov-19,Strata,110,"21,364",Freehold,1," Raffles Place, Cecil, Marina, People's Park",16 to 20
HAVELOCK2,HAVELOCK ROAD,Retail,"1,618,200",667.37,"2,425",Nov-19,Strata,62,"26,100",99 yrs lease commencing from 1983,1," Raffles Place, Cecil, Marina, People's Park",01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,"340,000",161.46,"2,106",Nov-19,Strata,15,"22,667",Freehold,5," Pasir Panjang, Hong Leong Garden, Clementi New Town",01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,"1,520,000",322.92,"4,707",Nov-19,Strata,30,"50,667",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",01 to 05
KEMBANGAN PLAZA,JALAN MASJID,Retail,"1,000,000",398.27,"2,511",Nov-19,Strata,37,"27,027",Freehold,14," Geylang, Eunos",B1 to B5
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,"1,200,000",570.49,"2,103",Nov-19,Strata,53,"22,642",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",01 to 05
OKIO,BALESTIER ROAD,Retail,"1,330,000",570.49,"2,331",Nov-19,Strata,53,"25,094",Freehold,12," Balestier, Toa Payoh, Serangoon",01 to 05
FU LU SHOU COMPLEX,ROCHOR ROAD,Retail,"1,800,000",473.62,"3,801",Nov-19,Strata,44,"40,909",99 yrs lease commencing from 1980,7," Middle Road, Golden Mile",01 to 05
LE REGAL,GEYLANG ROAD,Retail,"980,000",129.17,"7,587",Nov-19,Strata,12,"81,667",Freehold,14," Geylang, Eunos",01 to 05
PEACE CENTRE/MANSIONS,SOPHIA ROAD,Retail,"1,500,000","1,033.34","1,452",Nov-19,Strata,96,"15,625",99 yrs lease commencing from 1970,9," Orchard, Cairnhill, River Valley",01 to 05
HOLLAND ROAD SHOPPING CENTRE,HOLLAND AVENUE,Retail,"1,500,000",301.39,"4,977",Nov-19,Strata,28,"53,571",Freehold,10," Ardmore, Bukit Timah, Holland Road, Tanglin",01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,"355,000",172.22,"2,061",Nov-19,Strata,16,"22,188",Freehold,5," Pasir Panjang, Hong Leong Garden, Clementi New Town",01 to 05
LE REGAL,GEYLANG ROAD,Retail,"1,460,000",269.1,"5,425",Oct-19,Strata,25,"58,400",Freehold,14," Geylang, Eunos",01 to 05
JUNCTION NINE,YISHUN AVENUE 9,Retail,"870,000",398.27,"2,184",Oct-19,Strata,37,"23,514",99 yrs lease commencing from 2013,27," Yishun, Sembawang",01 to 05
ORCHID HOTEL,TRAS LINK,Retail,"2,210,000",258.34,"8,555",Oct-19,Strata,24,"92,083",99 yrs lease commencing from 2007,2," Anson, Tanjong Pagar",01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Retail,"1,720,000",882.65,"1,949",Oct-19,Strata,82,"20,976",99 yrs lease commencing from 1974,7," Middle Road, Golden Mile",01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"830,000",150.7,"5,508",Oct-19,Strata,14,"59,286",Freehold,1," Raffles Place, Cecil, Marina, People's Park",01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Retail,"5,500,000","2,142.04","2,568",Oct-19,Strata,199,"27,638",999 yrs lease commencing from 1883,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Retail,"841,300",344.45,"2,442",Oct-19,Strata,32,"26,291",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Retail,"9,300,000","2,518.78","3,692",Oct-19,Strata,234,"39,744",Freehold,9," Orchard, Cairnhill, River Valley",01 to 05
1953,TESSENSOHN ROAD,Retail,"1,532,520",505.91,"3,029",Oct-19,Strata,47,"32,607",Freehold,8, Little India,01 to 05
GREENDALE COURT,GREENDALE AVENUE,Shop House,"2,500,000",861.12,"2,903",Oct-24,Strata,80,"31,250",Freehold,11," Watten Estate, Novena, Thomson",-
N.A.,GEYLANG ROAD,Shop House,"14,600,000","2,566.14","5,689",Oct-24,Land,238.4,"61,242",Freehold,14," Geylang, Eunos",-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"4,100,000","1,226.02","3,344",Oct-24,Land,113.9,"35,996",99 yrs lease commencing from 1995,8, Little India,-
ADELPHI PARK ESTATE,JASMINE ROAD,Shop House,"4,500,000","1,401.47","3,211",Sep-24,Land,130.2,"34,562",Freehold,20," Bishan, Ang Mo Kio",-
SEMBAWANG HILLS ESTATE,JALAN GELENGGANG,Shop House,"5,000,000","2,895.52","1,727",Sep-24,Land,269,"18,587",Freehold,20," Bishan, Ang Mo Kio",-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"5,700,000","1,289.53","4,420",Sep-24,Land,119.8,"47,579",Freehold,8, Little India,-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"6,300,000","1,200.19","5,249",Sep-24,Land,111.5,"56,502",Freehold,8, Little India,-
LITTLE INDIA CONSERVATION AREA,NORRIS ROAD,Shop House,"5,775,000",982.75,"5,876",Sep-24,Land,91.3,"63,253",Freehold,8, Little India,-
N.A.,ROBERTS LANE,Shop House,"3,800,000","1,130.22","3,362",Sep-24,Land,105,"36,190",Freehold,8, Little India,-
DESKER ROAD CONSERVATION AREA,DESKER ROAD,Shop House,"5,600,000","1,173.28","4,773",Sep-24,Land,109,"51,376",Freehold,8, Little India,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"7,300,000","1,362.72","5,357",Sep-24,Land,126.6,"57,662",999 yrs lease commencing from 1872,8, Little India,-
ATLAND HOUSE,BUKIT TIMAH ROAD,Shop House,"17,000,000","2,082.83","8,162",Aug-24,Land,193.5,"87,855",Freehold,9," Orchard, Cairnhill, River Valley",-
TELOK AYER CONSERVATION AREA,CLUB STREET,Shop House,"13,250,000","1,185.12","11,180",Aug-24,Land,110.1,"120,345",999 yrs lease commencing from 1827,1," Raffles Place, Cecil, Marina, People's Park",-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"2,889,000","1,377.79","2,097",Aug-24,Land,128,"22,570",Freehold,19," Serangoon Garden, Hougang, Punggol",-
TANJONG PAGAR CONSERVATION AREA,TRAS STREET,Shop House,"10,200,000","1,617.83","6,305",Jul-24,Land,150.3,"67,864",99 yrs lease commencing from 1994,2," Anson, Tanjong Pagar",-
JALAN BESAR CONSERVATION AREA,SAM LEONG ROAD,Shop House,"9,855,000","1,349.81","7,301",Jul-24,Land,125.4,"78,589",999 yrs lease commencing from 1919,8, Little India,-
LITTLE INDIA CONSERVATION AREA,UPPER WELD ROAD,Shop House,"10,800,000","1,721.16","6,275",Jul-24,Land,159.9,"67,542",Freehold,8, Little India,-
JALAN BESAR CONSERVATION AREA,FOCH ROAD,Shop House,"9,680,000","1,495.12","6,474",Jul-24,Land,138.9,"69,690",Freehold,8, Little India,-
ENG KONG PARK,ENG KONG TERRACE,Shop House,"3,928,000","1,520.95","2,583",Jul-24,Land,141.3,"27,799",Freehold,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",-
THE RAIL MALL,UPPER BUKIT TIMAH ROAD,Shop House,"78,500,000","105,562.55",744,Jun-24,Land,"9,807","8,004",99 yrs lease commencing from 1947,23," Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",-
BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,Shop House,"5,300,000","1,491.89","3,553",Jun-24,Land,138.6,"38,240",Freehold,2," Anson, Tanjong Pagar",-
MAYFAIR PARK,RIFLE RANGE ROAD,Shop House,"1,250,000","1,097.93","1,139",Jun-24,Strata,102,"12,255",99 yrs lease commencing from 1952,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",-
N.A.,SYED ALWI ROAD,Shop House,"4,100,000","1,301.37","3,151",Jun-24,Land,120.9,"33,912",99 yrs lease commencing from 1999,8, Little India,-
BOAT QUAY CONSERVATION AREA,CIRCULAR ROAD,Shop House,"12,280,000","1,188.35","10,334",Jun-24,Land,110.4,"111,232",999 yrs lease commencing from 1826,1," Raffles Place, Cecil, Marina, People's Park",-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"6,000,000","1,377.79","4,355",Jun-24,Land,128,"46,875",Freehold,14," Geylang, Eunos",-
TELOK AYER CONSERVATION AREA,TELOK AYER STREET,Shop House,"16,500,000","1,429.46","11,543",May-24,Land,132.8,"124,247",999 yrs lease commencing from 1829,1," Raffles Place, Cecil, Marina, People's Park",-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"5,000,888",811.61,"6,162",May-24,Land,75.4,"66,325",999 yrs lease commencing from 1859,8, Little India,-
DESKER ROAD CONSERVATION AREA,ROWELL ROAD,Shop House,"5,300,000","1,190.50","4,452",May-24,Land,110.6,"47,920",Freehold,8, Little India,-
KAMPONG GLAM CONSERVATION AREA,ARAB STREET,Shop House,"7,100,000","1,187.27","5,980",May-24,Land,110.3,"64,370",Freehold,7," Middle Road, Golden Mile",-
N.A.,BIRCH ROAD,Shop House,"4,750,000","1,285.22","3,696",May-24,Land,119.4,"39,782",Freehold,8, Little India,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"4,300,000",637.23,"6,748",Apr-24,Land,59.2,"72,635",999 yrs lease commencing from 1877,8, Little India,-
N.A.,YIO CHU KANG ROAD,Shop House,"3,500,000","1,601.68","2,185",Apr-24,Land,148.8,"23,522",Freehold,19," Serangoon Garden, Hougang, Punggol",-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"4,400,000",642.61,"6,847",Apr-24,Land,59.7,"73,702",999 yrs lease commencing from 1877,8, Little India,-
YEW LIAN PARK,UPPER THOMSON ROAD,Shop House,"10,000,000","1,607.07","6,223",Apr-24,Land,149.3,"66,979",Freehold,20," Bishan, Ang Mo Kio",-
ENG KONG PARK,ENG KONG TERRACE,Shop House,"4,380,000","1,517.72","2,886",Apr-24,Land,141,"31,064",Freehold,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",-
N.A.,LORONG 24A GEYLANG,Shop House,"3,080,000","1,560.78","1,973",Apr-24,Land,145,"21,241",Freehold,14," Geylang, Eunos",-
LITTLE INDIA CONSERVATION AREA,CLIVE STREET,Shop House,"5,225,000",707.19,"7,388",Apr-24,Land,65.7,"79,528",Freehold,8, Little India,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,850,000",811.61,"5,976",Apr-24,Land,75.4,"64,324",999 yrs lease commencing from 1859,8, Little India,-
N.A.,TANJONG KATONG ROAD,Shop House,"2,750,000","1,463.90","1,879",Apr-24,Strata,136,"20,221",Freehold,15," Katong, Joo Chiat, Amber Road",-
LITTLE INDIA CONSERVATION AREA,NORRIS ROAD,Shop House,"6,700,000",988.14,"6,780",Mar-24,Land,91.8,"72,985",999 yrs lease commencing from 1909,8, Little India,-
N.A.,SIXTH AVENUE,Shop House,"13,800,000","2,450.96","5,630",Mar-24,Land,227.7,"60,606",Freehold,10," Ardmore, Bukit Timah, Holland Road, Tanglin",-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,938,000",710.42,"6,951",Mar-24,Land,66,"74,818",999 yrs lease commencing from 1879,8, Little India,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,938,000",691.05,"7,146",Mar-24,Land,64.2,"76,916",999 yrs lease commencing from 1879,8, Little India,-
KAMPONG GLAM CONSERVATION AREA,BUSSORAH STREET,Shop House,"4,500,000",689.97,"6,522",Mar-24,Land,64.1,"70,203",99 yrs lease commencing from 2003,7," Middle Road, Golden Mile",-
LITTLE INDIA CONSERVATION AREA,VEERASAMY ROAD,Shop House,"7,400,000","2,174.33","3,403",Mar-24,Land,202,"36,634",Freehold,8, Little India,-
KRETA AYER CONSERVATION AREA,PAGODA STREET,Shop House,"19,000,000","1,309.98","14,504",Mar-24,Land,121.7,"156,122",Freehold,1," Raffles Place, Cecil, Marina, People's Park",-
KAMPONG GLAM CONSERVATION AREA,JALAN PINANG,Shop House,"4,180,000",699.66,"5,974",Mar-24,Land,65,"64,308",Freehold,7," Middle Road, Golden Mile",-
SEASIDE PARK,JALAN SAUDARA KU,Shop House,"1,865,000",947.23,"1,969",Mar-24,Strata,88,"21,193",999 yrs lease commencing from 1965,15," Katong, Joo Chiat, Amber Road",-
KRETA AYER CONSERVATION AREA,MOSQUE STREET,Shop House,"15,930,000","1,202.34","13,249",Mar-24,Land,111.7,"142,614",Freehold,1," Raffles Place, Cecil, Marina, People's Park",-
GEYLANG CONSERVATION AREA,LORONG 13 GEYLANG,Shop House,"2,800,000","1,214.18","2,306",Mar-24,Land,112.8,"24,823",Freehold,14," Geylang, Eunos",-
N.A.,BALESTIER ROAD,Shop House,"6,432,100","1,756.68","3,661",Mar-24,Land,163.2,"39,412",Freehold,12," Balestier, Toa Payoh, Serangoon",-
N.A.,EAST COAST ROAD,Shop House,"10,300,000","1,862.17","5,531",Feb-24,Land,173,"59,538",Freehold,15," Katong, Joo Chiat, Amber Road",-
PLATINA GARDENS,SEMBAWANG ROAD,Shop House,"2,400,000","1,054.87","2,275",Feb-24,Strata,98,"24,490",Freehold,27," Yishun, Sembawang",-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"18,680,000","4,318.52","4,326",Feb-24,Land,401.2,"46,560",Freehold,14," Geylang, Eunos",-
N.A.,EAST COAST ROAD,Shop House,"7,450,000","2,417.59","3,082",Feb-24,Land,224.6,"33,170",Freehold,15," Katong, Joo Chiat, Amber Road",-
LITTLE INDIA CONSERVATION AREA,CUFF ROAD,Shop House,"6,400,000","1,537.10","4,164",Feb-24,Land,142.8,"44,818",Freehold,8, Little India,-
N.A.,SYED ALWI ROAD,Shop House,"14,380,000","2,709.30","5,308",Feb-24,Land,251.7,"57,132",Freehold,8, Little India,-
LITTLE INDIA CONSERVATION AREA,MADRAS STREET,Shop House,"5,200,000","1,480.05","3,513",Feb-24,Land,137.5,"37,818",99 yrs lease commencing from 1994,8, Little India,-
LITTLE INDIA CONSERVATION AREA,CLIVE STREET,Shop House,"5,150,000",768.55,"6,701",Feb-24,Land,71.4,"72,129",Freehold,8, Little India,-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"9,500,000","1,752.38","5,421",Jan-24,Land,162.8,"58,354",99 yrs lease commencing from 2000,2," Anson, Tanjong Pagar",-
N.A.,SYED ALWI ROAD,Shop House,"7,780,000","1,269.08","6,130",Jan-24,Land,117.9,"65,988",Freehold,8, Little India,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"5,250,000",588.79,"8,917",Jan-24,Land,54.7,"95,978",999 yrs lease commencing from 1878,8, Little India,-
N.A.,EMERALD HILL ROAD,Shop House,"16,000,000","1,657.66","9,652",Dec-23,Land,154,"103,896",Freehold,9," Orchard, Cairnhill, River Valley",-
N.A.,SIMS AVENUE,Shop House,"3,650,000","1,287.37","2,835",Dec-23,Land,119.6,"30,518",Freehold,14," Geylang, Eunos",-
SOUTH UNION PARK,JALAN TUA KONG,Shop House,"1,650,000","1,356.26","1,217",Nov-23,Strata,126,"13,095",Freehold,15," Katong, Joo Chiat, Amber Road",-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"9,200,000","2,546.76","3,612",Nov-23,Land,236.6,"38,884",Freehold,14," Geylang, Eunos",-
N.A.,SERANGOON ROAD,Shop House,"18,500,000","2,235.68","8,275",Nov-23,Land,207.7,"89,071",999 yrs lease commencing from 1860,8, Little India,-
N.A.,MACPHERSON ROAD,Shop House,"1,821,090","1,399.32","1,301",Nov-23,Strata,130,"14,008",9999 yrs lease commencing from 1959,13," Macpherson, Braddell",-
N.A.,BUKIT TIMAH ROAD,Shop House,"5,400,000","1,426.23","3,786",Nov-23,Land,132.5,"40,755",Freehold,9," Orchard, Cairnhill, River Valley",-
N.A.,THOMSON RIDGE,Shop House,"17,000,000","3,482.15","4,882",Oct-23,Land,323.5,"52,550",Freehold,20," Bishan, Ang Mo Kio",-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,260,000",763.17,"5,582",Oct-23,Land,70.9,"60,085",Freehold,8, Little India,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"5,060,000","1,517.72","3,334",Oct-23,Land,141,"35,887",199 yrs lease commencing from 2005,14," Geylang, Eunos",-
ENG KONG PARK,ENG KONG TERRACE,Shop House,"3,900,000","1,520.95","2,564",Oct-23,Land,141.3,"27,601",Freehold,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",-
DESKER ROAD CONSERVATION AREA,ROWELL ROAD,Shop House,"4,950,000","1,103.31","4,486",Oct-23,Land,102.5,"48,293",Freehold,8, Little India,-
N.A.,RACE COURSE ROAD,Shop House,"5,300,000","1,625.36","3,261",Oct-23,Land,151,"35,099",Freehold,8, Little India,-
N.A.,OWEN ROAD,Shop House,"1,900,000","3,372.36",563,Oct-23,Land,313.3,"6,064",99 yrs lease commencing from 1959,8, Little India,-
LITTLE INDIA CONSERVATION AREA,UPPER WELD ROAD,Shop House,"5,500,000","1,174.35","4,683",Oct-23,Land,109.1,"50,412",Freehold,8, Little India,-
LITTLE INDIA CONSERVATION AREA,SERANGOON ROAD,Shop House,"7,000,000",857.89,"8,160",Oct-23,Land,79.7,"87,829",Freehold,8, Little India,-
N.A.,CHANGI ROAD,Shop House,"3,980,000","1,636.13","2,433",Sep-23,Strata,152,"26,184",Freehold,14," Geylang, Eunos",-
N.A.,UPPER EAST COAST ROAD,Shop House,"5,800,000","2,206.62","2,628",Sep-23,Strata,205,"28,293",Freehold,15," Katong, Joo Chiat, Amber Road",-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"7,880,000","1,174.35","6,710",Sep-23,Land,109.1,"72,227",Freehold,3," Queenstown, Tiong Bahru",-
N.A.,LORONG 25A GEYLANG,Shop House,"1,265,000",990.29,"1,277",Sep-23,Strata,92,"13,750",Freehold,14," Geylang, Eunos",-
KAMPONG GLAM CONSERVATION AREA,JALAN PISANG,Shop House,"6,880,000",814.83,"8,443",Sep-23,Land,75.7,"90,885",Freehold,7," Middle Road, Golden Mile",-
TANJONG PAGAR CONSERVATION AREA,NEIL ROAD,Shop House,"9,400,000","1,342.27","7,003",Sep-23,Land,124.7,"75,381",99 yrs lease commencing from 1989,2," Anson, Tanjong Pagar",-
BOAT QUAY CONSERVATION AREA,SOUTH BRIDGE ROAD,Shop House,"11,420,000","1,393.94","8,193",Sep-23,Land,129.5,"88,185",999 yrs lease commencing from 1831,1," Raffles Place, Cecil, Marina, People's Park",-
LITTLE INDIA CONSERVATION AREA,DICKSON ROAD,Shop House,"6,000,000","1,416.54","4,236",Aug-23,Land,131.6,"45,593",99 yrs lease commencing from 1930,8, Little India,-
N.A.,OPAL CRESCENT,Shop House,"3,318,000","1,550.02","2,141",Aug-23,Land,144,"23,042",Freehold,12," Balestier, Toa Payoh, Serangoon",-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"3,900,000",458.55,"8,505",Aug-23,Land,42.6,"91,549",999 yrs lease commencing from 1878,8, Little India,-
N.A.,UPPER PAYA LEBAR ROAD,Shop House,"3,300,000","1,828.80","1,804",Aug-23,Land,169.9,"19,423",Freehold,19," Serangoon Garden, Hougang, Punggol",-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"7,500,000","1,184.04","6,334",Aug-23,Land,110,"68,182",Freehold,3," Queenstown, Tiong Bahru",-
TANJONG PAGAR CONSERVATION AREA,TANJONG PAGAR ROAD,Shop House,"16,200,000","1,683.49","9,623",Aug-23,Land,156.4,"103,581",99 yrs lease commencing from 1988,2," Anson, Tanjong Pagar",-
N.A.,THONG SOON AVENUE,Shop House,"1,716,888","1,776.06",967,Aug-23,Strata,165,"10,405",Freehold,26," Upper Thomson, Springleaf",-
FRANKEL ESTATE,SIGLAP DRIVE,Shop House,"3,938,888","1,889.08","2,085",Aug-23,Land,175.5,"22,444",Freehold,15," Katong, Joo Chiat, Amber Road",-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"5,300,000","1,367.03","3,877",Aug-23,Land,127,"41,732",Freehold,14," Geylang, Eunos",-
N.A.,LORONG LIPUT,Shop House,"12,730,000","1,713.63","7,429",Aug-23,Land,159.2,"79,962",Freehold,10," Ardmore, Bukit Timah, Holland Road, Tanglin",-
N.A.,BALESTIER ROAD,Shop House,"1,038,000","1,538.18",675,Aug-23,Land,142.9,"7,264",99 yrs lease commencing from 1952,12," Balestier, Toa Payoh, Serangoon",-
LITTLE INDIA CONSERVATION AREA,DESKER ROAD,Shop House,"6,500,000","1,053.80","6,168",Aug-23,Land,97.9,"66,394",Freehold,8, Little India,-
N.A.,JOO CHIAT ROAD,Shop House,"12,000,000","9,493.85","1,264",Aug-23,Strata,882,"13,605",99 yrs lease commencing from 1995,15," Katong, Joo Chiat, Amber Road",01 to 05
N.A.,SIMS AVENUE,Shop House,"8,888,800","3,704.97","2,399",Aug-23,Land,344.2,"25,825",Freehold,14," Geylang, Eunos",-
N.A.,OPAL CRESCENT,Shop House,"3,400,000","1,555.40","2,186",Aug-23,Land,144.5,"23,529",Freehold,12," Balestier, Toa Payoh, Serangoon",-
N.A.,LORONG 11 GEYLANG,Shop House,"8,000,000","4,152.75","1,926",Aug-23,Land,385.8,"20,736",Freehold,14," Geylang, Eunos",-
KRETA AYER CONSERVATION AREA,MOSQUE STREET,Shop House,"15,600,000","1,250.78","12,472",Aug-23,Land,116.2,"134,251",Freehold,1," Raffles Place, Cecil, Marina, People's Park",-
LITTLE INDIA CONSERVATION AREA,VEERASAMY ROAD,Shop House,"7,000,000","1,951.51","3,587",Aug-23,Land,181.3,"38,610",Freehold,8, Little India,-
PETAIN ROAD/TYRWHITT ROAD CONSERVATION A,JALAN BESAR,Shop House,"8,888,888","1,528.49","5,815",Aug-23,Land,142,"62,598",Freehold,8, Little India,-
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Shop House,"13,500,000","2,146.34","6,290",Jul-23,Land,199.4,"67,703",999 yrs lease commencing from 1955,19," Serangoon Garden, Hougang, Punggol",-
N.A.,KEONG SAIK ROAD,Shop House,"15,500,000","1,066.71","14,531",Jul-23,Land,99.1,"156,408",Freehold,2," Anson, Tanjong Pagar",-
N.A.,ST. GEORGE'S ROAD,Shop House,"4,900,000","1,130.22","4,335",Jul-23,Strata,105,"46,667",Freehold,12," Balestier, Toa Payoh, Serangoon",-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"8,500,000","1,940.75","4,380",Jul-23,Land,180.3,"47,144",199 yrs lease commencing from 2002,14," Geylang, Eunos",-
TELOK AYER CONSERVATION AREA,ANN SIANG ROAD,Shop House,"32,000,000","1,445.61","22,136",Jul-23,Land,134.3,"238,273",999 yrs lease commencing from 1827,1," Raffles Place, Cecil, Marina, People's Park",-
LITTLE INDIA CONSERVATION AREA,UPPER WELD ROAD,Shop House,"4,480,000",942.93,"4,751",Jul-23,Land,87.6,"51,142",Freehold,8, Little India,-
LITTLE INDIA CONSERVATION AREA,BUFFALO ROAD,Shop House,"4,400,000","1,019.35","4,316",Jul-23,Land,94.7,"46,463",99 yrs lease commencing from 1993,8, Little India,-
N.A.,OPAL CRESCENT,Shop House,"3,800,000","1,699.64","2,236",Jul-23,Land,157.9,"24,066",Freehold,12," Balestier, Toa Payoh, Serangoon",-
KAMPONG GLAM CONSERVATION AREA,BUSSORAH STREET,Shop House,"4,800,000",724.42,"6,626",Jul-23,Land,67.3,"71,322",99 yrs lease commencing from 2003,7," Middle Road, Golden Mile",-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,888,888",741.64,"6,592",Jul-23,Land,68.9,"70,956",999 yrs lease commencing from 1879,8, Little India,-
N.A.,GEYLANG ROAD,Shop House,"30,000,000","4,517.65","6,641",Jun-23,Land,419.7,"71,480",Freehold,14," Geylang, Eunos",-
