Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,080,000",484.38,"2,230",Mar-24,Strata,45,"24,000",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"2,750,000",925.7,"2,971",Mar-24,Strata,86,"31,977",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",16 to 20
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,888,000","1,054.87","1,790",Mar-24,Strata,98,"19,265",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"1,460,000",635.08,"2,299",Mar-24,Strata,59,"24,746",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,680,000",635.08,"2,645",Mar-24,Strata,59,"28,475",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,770,000",936.47,"1,890",Mar-24,Strata,87,"20,345",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",21 to 25
THE CENTRAL,EU TONG SEN STREET,Office,"2,748,368",925.7,"2,969",Mar-24,Strata,86,"31,958",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",11 to 15
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"8,088,888","2,195.86","3,684",Mar-24,Strata,204,"39,651",99 yrs lease commencing from 1989,1," Raffles Place, Cecil, Marina, People's Park",36 to 40
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,325,497",559.73,"2,368",Mar-24,Strata,52,"25,490",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",11 to 15
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"828,000",182.99,"4,525",Mar-24,Strata,17,"48,706",999 yrs lease commencing from 1883,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,257,777",613.55,"2,050",Mar-24,Strata,57,"22,066",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",06 to 10
STUDIO8,JALAN AYER,Office,"1,000,000",430.56,"2,323",Mar-24,Strata,40,"25,000",Freehold,14," Geylang, Eunos",01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,649,000",635.08,"2,597",Mar-24,Strata,59,"27,949",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,441,111",645.84,"2,231",Mar-24,Strata,60,"24,019",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"750,000",516.67,"1,452",Mar-24,Strata,48,"15,625",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
THE MODULES,JOO CHIAT ROAD,Office,"1,538,888",839.59,"1,833",Mar-24,Strata,78,"19,729",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"699,700",699.66,"1,000",Mar-24,Strata,65,"10,765",99 yrs lease commencing from 1969,6," High Street, Beach Road (part)",01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"3,899,880","1,883.70","2,070",Feb-24,Strata,175,"22,285",99 yrs lease commencing from 1970,2," Anson, Tanjong Pagar",26 to 30
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,560,490",753.48,"2,071",Feb-24,Strata,70,"22,293",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,485,418",656.6,"2,262",Feb-24,Strata,61,"24,351",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,040,600",484.38,"2,148",Feb-24,Strata,45,"23,124",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"775,000",473.62,"1,636",Feb-24,Strata,44,"17,614",Freehold,14," Geylang, Eunos",01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,314,000",656.6,"2,001",Feb-24,Strata,61,"21,541",999 yrs lease commencing from 1829,6," High Street, Beach Road (part)",06 to 10
