Project Name,Street Name,Property Type,Transacted Price ($),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Postal District,District Name,Tenure Type,Lease Years,Floor Min,Floor Max,Floor Category,Transaction Year,Transaction Month
SOLITAIRE ON CECIL,CECIL STREET,Office,7396100,2024-04-01,Strata,163.0,45375,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2024,4
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1268000,2024-04-01,Strata,51.0,24863,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2024,4
SOLITAIRE ON CECIL,CECIL STREET,Office,10281750,2024-04-01,Strata,235.0,43752,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2024,4
SOLITAIRE ON CECIL,CECIL STREET,Office,8066800,2024-04-01,Strata,184.0,43841,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2024,4
SOLITAIRE ON CECIL,CECIL STREET,Office,4519100,2024-04-01,Strata,103.0,43875,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2024,4
SOLITAIRE ON CECIL,CECIL STREET,Office,5187900,2024-04-01,Strata,118.0,43965,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2024,4
SOLITAIRE ON CECIL,CECIL STREET,Office,4878300,2024-04-01,Strata,108.0,45169,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2024,4
WOODS SQUARE,WOODLANDS SQUARE,Office,1211000,2024-04-01,Strata,52.0,23288,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2024,4
EVERSHINE AND CENTURY COMPLEX,BEACH ROAD,Office,4900000,2024-04-01,Strata,235.0,20851,7," Middle Road, Golden Mile",Leasehold,999.0,,,Unknown,2024,4
CHINATOWN POINT,NEW BRIDGE ROAD,Office,1468800,2024-04-01,Strata,67.0,21922,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2024,4
SBF CENTER,ROBINSON ROAD,Office,2338000,2024-03-01,Strata,62.0,37710,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,26,30,21+,2024,3
THE CENTRAL,EU TONG SEN STREET,Office,2800000,2024-03-01,Strata,86.0,32558,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2024,3
SOHO LIFE,JOO CHIAT ROAD,Office,768158,2024-03-01,Strata,38.0,20215,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,3
THE CENTRAL,EU TONG SEN STREET,Office,1600000,2024-03-01,Strata,56.0,28571,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2024,3
CHINATOWN POINT,NEW BRIDGE ROAD,Office,4200000,2024-03-01,Strata,223.0,18834,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2024,3
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1080000,2024-03-01,Strata,45.0,24000,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2024,3
THE CENTRAL,EU TONG SEN STREET,Office,2750000,2024-03-01,Strata,86.0,31977,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2024,3
CHINATOWN POINT,NEW BRIDGE ROAD,Office,1888000,2024-03-01,Strata,98.0,19265,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2024,3
THE CENTRAL,EU TONG SEN STREET,Office,1460000,2024-03-01,Strata,59.0,24746,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2024,3
THE CENTRAL,EU TONG SEN STREET,Office,1680000,2024-03-01,Strata,59.0,28475,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2024,3
INTERNATIONAL PLAZA,ANSON ROAD,Office,1770000,2024-03-01,Strata,87.0,20345,2," Anson, Tanjong Pagar",Leasehold,99.0,21,25,21+,2024,3
THE CENTRAL,EU TONG SEN STREET,Office,2748368,2024-03-01,Strata,86.0,31958,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2024,3
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,8088888,2024-03-01,Strata,204.0,39651,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,36,40,21+,2024,3
WOODS SQUARE,WOODLANDS SQUARE,Office,1325497,2024-03-01,Strata,52.0,25490,25," Kranji, Woodgrove",Leasehold,99.0,11,15,11-15,2024,3
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,828000,2024-03-01,Strata,17.0,48706,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",Leasehold,999.0,1,5,01-05,2024,3
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,1257777,2024-03-01,Strata,57.0,22066,6," High Street, Beach Road (part)",Leasehold,999.0,6,10,06-10,2024,3
STUDIO8,JALAN AYER,Office,1000000,2024-03-01,Strata,40.0,25000,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,3
THE CENTRAL,EU TONG SEN STREET,Office,1649000,2024-03-01,Strata,59.0,27949,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2024,3
WOODS SQUARE,WOODLANDS SQUARE,Office,1441111,2024-03-01,Strata,60.0,24019,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2024,3
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,750000,2024-03-01,Strata,48.0,15625,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,3
THE MODULES,JOO CHIAT ROAD,Office,1538888,2024-03-01,Strata,78.0,19729,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,3
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,699700,2024-03-01,Strata,65.0,10765,6," High Street, Beach Road (part)",Leasehold,99.0,1,5,01-05,2024,3
INTERNATIONAL PLAZA,ANSON ROAD,Office,3899880,2024-02-01,Strata,175.0,22285,2," Anson, Tanjong Pagar",Leasehold,99.0,26,30,21+,2024,2
WOODS SQUARE,WOODLANDS SQUARE,Office,1560490,2024-02-01,Strata,70.0,22293,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2024,2
WOODS SQUARE,WOODLANDS SQUARE,Office,1485418,2024-02-01,Strata,61.0,24351,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2024,2
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1040600,2024-02-01,Strata,45.0,23124,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2024,2
CENTROPOD @ CHANGI,CHANGI ROAD,Office,775000,2024-02-01,Strata,44.0,17614,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,2
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,1314000,2024-02-01,Strata,61.0,21541,6," High Street, Beach Road (part)",Leasehold,999.0,6,10,06-10,2024,2
SUNSHINE PLAZA,BENCOOLEN STREET,Office,950000,2024-02-01,Strata,46.0,20652,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,2
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,695000,2024-02-01,Strata,27.0,25741,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,-1,-5,Basement,2024,2
VISION EXCHANGE,VENTURE DRIVE,Office,25656000,2024-02-01,Strata,1001.0,25630,22, Jurong,Leasehold,99.0,21,25,21+,2024,2
VISION EXCHANGE,VENTURE DRIVE,Office,33322000,2024-02-01,Strata,1302.0,25593,22, Jurong,Leasehold,99.0,21,25,21+,2024,2
HIGHLAND CENTRE,YIO CHU KANG ROAD,Office,820000,2024-02-01,Strata,57.0,14386,19," Serangoon Garden, Hougang, Punggol",Freehold,,1,5,01-05,2024,2
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,600000,2024-02-01,Strata,41.0,14634,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,2
HIGH STREET PLAZA,HIGH STREET,Office,290000,2024-02-01,Strata,8.0,36250,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2024,2
ORCHARD PLAZA,ORCHARD ROAD,Office,740000,2024-02-01,Strata,42.0,17619,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,6,10,06-10,2024,2
OXLEY TOWER,ROBINSON ROAD,Office,3300000,2024-02-01,Strata,91.0,36264,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,11,15,11-15,2024,2
111 SOMERSET,SOMERSET ROAD,Office,2300000,2024-02-01,Strata,72.0,31944,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,11,15,11-15,2024,2
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,372800,2024-02-01,Strata,26.0,14338,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,2
,CHIN SWEE ROAD,Office,3372075,2024-02-01,Strata,585.0,5764,3," Queenstown, Tiong Bahru",Leasehold,99.0,1,5,01-05,2024,2
,CHIN SWEE ROAD,Office,3680967,2024-02-01,Strata,621.0,5927,3," Queenstown, Tiong Bahru",Leasehold,99.0,1,5,01-05,2024,2
,CHIN SWEE ROAD,Office,3946958,2024-02-01,Strata,652.0,6054,3," Queenstown, Tiong Bahru",Leasehold,99.0,1,5,01-05,2024,2
15 SCOTTS,SCOTTS ROAD,Office,3118800,2024-02-01,Strata,63.0,49505,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2024,2
THE CENTRAL,EU TONG SEN STREET,Office,1499000,2024-02-01,Strata,60.0,24983,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2024,2
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,1500000,2024-02-01,Strata,30.0,50000,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,2
INTERNATIONAL PLAZA,ANSON ROAD,Office,1818188,2024-02-01,Strata,91.0,19980,2," Anson, Tanjong Pagar",Leasehold,99.0,26,30,21+,2024,2
WOODS SQUARE,WOODLANDS SQUARE,Office,1188000,2024-02-01,Strata,52.0,22846,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2024,2
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,1425000,2024-01-01,Strata,42.0,33929,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,-1,-5,Basement,2024,1
BURLINGTON SQUARE,BENCOOLEN STREET,Office,968000,2024-01-01,Strata,54.0,17926,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,1
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,880000,2024-01-01,Strata,31.0,28387,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2024,1
SBF CENTER,ROBINSON ROAD,Office,2080000,2024-01-01,Strata,62.0,33548,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2024,1
,CHIN SWEE ROAD,Office,650000,2024-01-01,Strata,49.0,13265,3," Queenstown, Tiong Bahru",Leasehold,99.0,11,15,11-15,2024,1
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,1700400,2024-01-01,Strata,81.0,20993,6," High Street, Beach Road (part)",Leasehold,999.0,6,10,06-10,2024,1
SBF CENTER,ROBINSON ROAD,Office,2339100,2024-01-01,Strata,63.0,37129,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2024,1
SOHO LIFE,JOO CHIAT ROAD,Office,660000,2024-01-01,Strata,33.0,20000,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,1
INTERNATIONAL PLAZA,ANSON ROAD,Office,2500000,2024-01-01,Strata,127.0,19685,2," Anson, Tanjong Pagar",Leasehold,99.0,16,20,16-20,2024,1
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1200000,2024-01-01,Strata,47.0,25532,14," Geylang, Eunos",Leasehold,99.0,11,15,11-15,2024,1
THE CENTRAL,EU TONG SEN STREET,Office,2500000,2024-01-01,Strata,82.0,30488,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2024,1
THE PLAZA,BEACH ROAD,Office,494318,2024-01-01,Strata,29.0,17045,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,1
GB BUILDING,CECIL STREET,Office,10741500,2024-01-01,Strata,504.0,21313,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2024,1
REGENCY SUITES,KIM TIAN ROAD,Office,1280000,2024-01-01,Strata,55.0,23273,3," Queenstown, Tiong Bahru",Freehold,,1,5,01-05,2024,1
FORTUNE CENTRE,MIDDLE ROAD,Office,2070000,2024-01-01,Strata,126.0,16429,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,1
INTERNATIONAL PLAZA,ANSON ROAD,Office,890000,2024-01-01,Strata,43.0,20698,2," Anson, Tanjong Pagar",Leasehold,99.0,16,20,16-20,2024,1
HEXACUBE,CHANGI ROAD,Office,750000,2024-01-01,Strata,45.0,16667,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,1
BALMORAL PLAZA,BUKIT TIMAH ROAD,Office,2070000,2024-01-01,Strata,72.0,28750,10," Ardmore, Bukit Timah, Holland Road, Tanglin",Freehold,,1,5,01-05,2024,1
,ARMENIAN STREET,Office,4480000,2024-01-01,Strata,168.0,26667,6," High Street, Beach Road (part)",Leasehold,99.0,6,10,06-10,2024,1
SOUTHBANK,NORTH BRIDGE ROAD,Office,625000,2024-01-01,Strata,18.0,34722,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,1
THE CENTRAL,EU TONG SEN STREET,Office,1700000,2024-01-01,Strata,60.0,28333,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2024,1
LUCKY PLAZA,ORCHARD ROAD,Office,3000000,2024-01-01,Strata,40.0,75000,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2024,1
EON SHENTON,SHENTON WAY,Office,2400000,2024-01-01,Strata,96.0,25000,2," Anson, Tanjong Pagar",Leasehold,99.0,11,15,11-15,2024,1
THE PLAZA,BEACH ROAD,Office,678888,2024-01-01,Strata,44.0,15429,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,1
,LORONG L TELOK KURAU,Office,2730000,2024-01-01,Strata,244.0,11189,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,1
BYLANDS BUILDING,MIDDLE ROAD,Office,465000,2024-01-01,Strata,23.0,20217,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,1
,CHIN SWEE ROAD,Office,479000,2024-01-01,Strata,32.0,14969,3," Queenstown, Tiong Bahru",Leasehold,99.0,11,15,11-15,2024,1
GUTHRIE BUILDING,CHANGI ROAD,Office,1568000,2024-01-01,Strata,121.0,12959,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,1
INTERNATIONAL PLAZA,ANSON ROAD,Office,798000,2023-12-01,Strata,38.0,21000,2," Anson, Tanjong Pagar",Leasehold,99.0,21,25,21+,2023,12
,CLEMENCEAU AVENUE,Office,769296,2023-12-01,Strata,48.0,16027,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,1,5,01-05,2023,12
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,36226000,2023-12-01,Strata,958.0,37814,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,41,45,21+,2023,12
,CHIN SWEE ROAD,Office,790000,2023-12-01,Strata,57.0,13860,3," Queenstown, Tiong Bahru",Leasehold,99.0,1,5,01-05,2023,12
ORCHARD TOWERS,ORCHARD ROAD,Office,7836400,2023-12-01,Strata,331.0,23675,9," Orchard, Cairnhill, River Valley",Freehold,,16,20,16-20,2023,12
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,400000,2023-12-01,Strata,27.0,14815,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2023,12
GRAND BUILDING,PHILLIP STREET,Office,7000000,2023-12-01,Strata,195.0,35897,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,6,10,06-10,2023,12
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,688000,2023-12-01,Strata,45.0,15289,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2023,12
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,7300000,2023-12-01,Strata,204.0,35784,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,36,40,21+,2023,12
SUNSHINE PLAZA,BENCOOLEN STREET,Office,2305800,2023-12-01,Strata,119.0,19376,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2023,12
PARKWAY PARADE,MARINE PARADE ROAD,Office,3000000,2023-12-01,Strata,164.0,18293,15," Katong, Joo Chiat, Amber Road",Leasehold,99.0,16,20,16-20,2023,12
PLUS,CECIL STREET,Office,7200000,2023-12-01,Strata,214.0,33645,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2023,12
PARKWAY PARADE,MARINE PARADE ROAD,Office,1938888,2023-12-01,Strata,86.0,22545,15," Katong, Joo Chiat, Amber Road",Leasehold,99.0,11,15,11-15,2023,12
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1019444,2023-12-01,Strata,50.0,20389,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2023,12
SUNSHINE PLAZA,BENCOOLEN STREET,Office,1658000,2023-12-01,Strata,89.0,18629,7," Middle Road, Golden Mile",Leasehold,99.0,11,15,11-15,2023,12
FORTUNE CENTRE,MIDDLE ROAD,Office,1268888,2023-12-01,Strata,79.0,16062,7," Middle Road, Golden Mile",Leasehold,99.0,11,15,11-15,2023,12
THE PLAZA,BEACH ROAD,Office,380000,2023-12-01,Strata,20.0,19000,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2023,12
HIGH STREET PLAZA,HIGH STREET,Office,1386900,2023-12-01,Strata,56.0,24766,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2023,12
THE CENTRAL,EU TONG SEN STREET,Office,3800000,2023-12-01,Strata,113.0,33628,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2023,12
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,14575950,2023-12-01,Strata,444.0,32829,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2023,12
PLUS,CECIL STREET,Office,7392000,2023-12-01,Strata,202.0,36594,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,26,30,21+,2023,12
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1110000,2023-12-01,Strata,45.0,24667,14," Geylang, Eunos",Leasehold,99.0,11,15,11-15,2023,12
SOHO LIFE,JOO CHIAT ROAD,Office,735000,2023-12-01,Strata,38.0,19342,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2023,12
VISION EXCHANGE,VENTURE DRIVE,Office,980000,2023-11-01,Strata,48.0,20417,22, Jurong,Leasehold,99.0,11,15,11-15,2023,11
THE CENTRAL,EU TONG SEN STREET,Office,2350000,2023-11-01,Strata,86.0,27326,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2023,11
WOODS SQUARE,WOODLANDS SQUARE,Office,2012876,2023-11-01,Strata,87.0,23137,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2023,11
SBF CENTER,ROBINSON ROAD,Office,2598600,2023-11-01,Strata,68.0,38215,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2023,11
SBF CENTER,ROBINSON ROAD,Office,2673150,2023-11-01,Strata,70.0,38188,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2023,11
HAVELOCK2,HAVELOCK ROAD,Office,580000,2023-11-01,Strata,33.0,17576,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2023,11
FORTUNE CENTRE,MIDDLE ROAD,Office,780000,2023-11-01,Strata,30.0,26000,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2023,11
PS100,PECK SEAH STREET,Office,1200000,2023-11-01,Strata,44.0,27273,2," Anson, Tanjong Pagar",Leasehold,99.0,6,10,06-10,2023,11
THE GOLDEN LANDMARK,VICTORIA STREET,Office,588000,2023-11-01,Strata,26.0,22615,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2023,11
TONG ENG BUILDING,CECIL STREET,Office,3503100,2023-11-01,Strata,114.0,30729,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,6,10,06-10,2023,11
SAMSUNG HUB,CHURCH STREET,Office,11395455,2023-11-01,Strata,270.0,42205,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,6,10,06-10,2023,11
SAMSUNG HUB,CHURCH STREET,Office,12493433,2023-11-01,Strata,296.0,42208,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,6,10,06-10,2023,11
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,8200000,2023-11-01,Strata,217.0,37788,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,36,40,21+,2023,11
THE CENTRAL,EU TONG SEN STREET,Office,1500000,2023-11-01,Strata,59.0,25424,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2023,11
VISIONCREST,PENANG ROAD,Office,41285107,2023-11-01,Strata,1345.0,30695,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2023,11
VISIONCREST,PENANG ROAD,Office,41097447,2023-11-01,Strata,1334.0,30808,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2023,11
VISIONCREST,PENANG ROAD,Office,41378937,2023-11-01,Strata,1334.0,31019,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2023,11
VISIONCREST,PENANG ROAD,Office,42598724,2023-11-01,Strata,1368.0,31139,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2023,11
VISIONCREST,PENANG ROAD,Office,42786382,2023-11-01,Strata,1368.0,31277,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2023,11
VISIONCREST,PENANG ROAD,Office,42974042,2023-11-01,Strata,1368.0,31414,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2023,11
VISIONCREST,PENANG ROAD,Office,43255531,2023-11-01,Strata,1368.0,31620,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2023,11
VISIONCREST,PENANG ROAD,Office,43818510,2023-11-01,Strata,1379.0,31776,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2023,11
VISIONCREST,PENANG ROAD,Office,44006170,2023-11-01,Strata,1379.0,31912,9," Orchard, Cairnhill, River Valley",Freehold,,6,10,06-10,2023,11
VISIONCREST,PENANG ROAD,Office,43724680,2023-11-01,Strata,1660.0,26340,9," Orchard, Cairnhill, River Valley",Freehold,,11,15,11-15,2023,11
SOUTHBANK,NORTH BRIDGE ROAD,Office,1380000,2023-11-01,Strata,64.0,21563,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2023,11
111 SOMERSET,SOMERSET ROAD,Office,1188888,2023-11-01,Strata,48.0,24769,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,6,10,06-10,2023,11
THE CENTRAL,EU TONG SEN STREET,Office,2600000,2023-11-01,Strata,82.0,31707,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2023,11
SOHO LIFE,JOO CHIAT ROAD,Office,725000,2023-11-01,Strata,37.0,19595,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2023,11
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,1116637,2023-11-01,Strata,42.0,26587,6," High Street, Beach Road (part)",Leasehold,999.0,6,10,06-10,2023,11
WOODS SQUARE,WOODLANDS SQUARE,Office,1166076,2023-11-01,Strata,52.0,22425,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2023,11
FUYUEN COURT,SIMS AVENUE,Office,1958000,2023-11-01,Strata,176.0,11125,14," Geylang, Eunos",Freehold,,1,5,01-05,2023,11
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1135000,2023-11-01,Strata,50.0,22700,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2023,11
HAVELOCK2,HAVELOCK ROAD,Office,1150000,2023-11-01,Strata,48.0,23958,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2023,11
CT HUB 2,LAVENDER STREET,Office,1939700,2023-11-01,Strata,106.0,18299,12," Balestier, Toa Payoh, Serangoon",Leasehold,63.0,11,15,11-15,2023,11
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1259000,2023-11-01,Strata,60.0,20983,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2023,11
CHINATOWN POINT,NEW BRIDGE ROAD,Office,1880000,2023-11-01,Strata,98.0,19184,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2023,11
SIM LIM TOWER,JALAN BESAR,Office,1300000,2023-11-01,Strata,55.0,23636,8, Little India,Freehold,,11,15,11-15,2023,11
WOODS SQUARE,WOODLANDS SQUARE,Office,1186330,2023-11-01,Strata,52.0,22814,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2023,11
OXLEY TOWER,ROBINSON ROAD,Office,3500000,2023-11-01,Strata,93.0,37634,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,16,20,16-20,2023,11
OXLEY TOWER,ROBINSON ROAD,Office,3700000,2023-11-01,Strata,108.0,34259,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,16,20,16-20,2023,11
TEXTILE CENTRE,JALAN SULTAN,Office,910000,2023-11-01,Strata,82.0,11098,7," Middle Road, Golden Mile",Leasehold,99.0,11,15,11-15,2023,11
SHENTON HOUSE,SHENTON WAY,Office,538000000,2023-11-01,Strata,441.0,1219955,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2023,11
UNITED HOUSE,KRAMAT LANE,Office,983888,2023-10-01,Strata,53.0,18564,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2023,10
PLUS,CECIL STREET,Office,2440051,2023-10-01,Strata,46.0,53045,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2023,10
PLUS,CECIL STREET,Office,2548498,2023-10-01,Strata,48.0,53094,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2023,10
PLUS,CECIL STREET,Office,2809756,2023-10-01,Strata,53.0,53014,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2023,10
PS100,PECK SEAH STREET,Office,1150000,2023-10-01,Strata,41.0,28049,2," Anson, Tanjong Pagar",Leasehold,99.0,11,15,11-15,2023,10
THE PLAZA,BEACH ROAD,Office,973800,2023-10-01,Strata,64.0,15216,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2023,10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2090000,2023-10-01,Strata,88.0,23750,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2023,10
WOODS SQUARE,WOODLANDS SQUARE,Office,1198645,2023-10-01,Strata,52.0,23051,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2023,10
INTERNATIONAL PLAZA,ANSON ROAD,Office,815000,2023-10-01,Strata,43.0,18953,2," Anson, Tanjong Pagar",Leasehold,99.0,16,20,16-20,2023,10
