Project Name,Street Name,Property Type,Transacted Price ($),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Postal District,District Name,Tenure Type,Lease Years,Floor Min,Floor Max,Floor Category,Transaction Year,Transaction Month
NEW WORLD CENTRE,JALAN BERSEH,Office,11587935,2024-05-01,Strata,858.0,13506,8, Little India,Leasehold,99.0,1,5,01-05,2024,5
NEW WORLD CENTRE,JALAN BERSEH,Office,1515864,2024-05-01,Strata,124.0,12225,8, Little India,Leasehold,99.0,1,5,01-05,2024,5
NEW WORLD CENTRE,JALAN BERSEH,Office,7205642,2024-05-01,Strata,533.0,13519,8, Little India,Leasehold,99.0,1,5,01-05,2024,5
INTERNATIONAL PLAZA,ANSON ROAD,Office,890000,2024-05-01,Strata,43.0,20698,2," Anson, Tanjong Pagar",Leasehold,99.0,16,20,16-20,2024,5
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,3390000,2024-05-01,Strata,138.0,24565,6," High Street, Beach Road (part)",Leasehold,999.0,16,20,16-20,2024,5
NEW WORLD CENTRE,JALAN BERSEH,Office,4210732,2024-05-01,Strata,412.0,10220,8, Little India,Leasehold,99.0,1,5,01-05,2024,5
HAVELOCK2,HAVELOCK ROAD,Office,698000,2024-04-01,Strata,40.0,17450,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2024,4
THE ADELPHI,COLEMAN STREET,Office,1520000,2024-04-01,Strata,47.0,32340,6," High Street, Beach Road (part)",Leasehold,999.0,6,10,06-10,2024,4
FORTUNE CENTRE,MIDDLE ROAD,Office,2440000,2024-04-01,Strata,155.0,15742,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,4
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,600000,2024-04-01,Strata,31.0,19355,3," Queenstown, Tiong Bahru",Leasehold,99.0,1,5,01-05,2024,4
HIGH STREET PLAZA,HIGH STREET,Office,825000,2024-04-01,Strata,30.0,27500,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2024,4
INTERNATIONAL PLAZA,ANSON ROAD,Office,380000,2024-04-01,Strata,15.0,25333,2," Anson, Tanjong Pagar",Leasehold,99.0,31,35,21+,2024,4
FORTUNE CENTRE,MIDDLE ROAD,Office,2003000,2024-04-01,Strata,122.0,16418,7," Middle Road, Golden Mile",Leasehold,99.0,16,20,16-20,2024,4
THE CENTRAL,EU TONG SEN STREET,Office,1760000,2024-04-01,Strata,60.0,29333,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2024,4
PS100,PECK SEAH STREET,Office,1268000,2024-04-01,Strata,41.0,30927,2," Anson, Tanjong Pagar",Leasehold,99.0,6,10,06-10,2024,4
WOODS SQUARE,WOODLANDS SQUARE,Office,1564212,2024-04-01,Strata,70.0,22346,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2024,4
JALAN BESAR PLAZA,KITCHENER ROAD,Office,690000,2024-04-01,Strata,28.0,24643,8, Little India,Freehold,,1,5,01-05,2024,4
HEXACUBE,CHANGI ROAD,Office,800000,2024-04-01,Strata,42.0,19048,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,4
WIS@CHANGI,CHANGI ROAD,Office,620000,2024-04-01,Strata,45.0,13778,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,4
THE PLAZA,BEACH ROAD,Office,800000,2024-04-01,Strata,31.0,25806,7," Middle Road, Golden Mile",Leasehold,99.0,-1,-5,Basement,2024,4
WOODS SQUARE,WOODLANDS SQUARE,Office,1000000,2024-04-01,Strata,53.0,18868,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2024,4
THE CENTRAL,EU TONG SEN STREET,Office,1390000,2024-04-01,Strata,59.0,23559,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2024,4
VISION EXCHANGE,VENTURE DRIVE,Office,880000,2024-04-01,Strata,41.0,21463,22, Jurong,Leasehold,99.0,6,10,06-10,2024,4
,ARMENIAN STREET,Office,2770000,2024-04-01,Strata,107.0,25888,6," High Street, Beach Road (part)",Leasehold,99.0,1,5,01-05,2024,4
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1250000,2024-04-01,Strata,50.0,25000,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2024,4
TAHIR BUILDING,ROBINSON ROAD,Office,4523500,2024-04-01,Strata,106.0,42675,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2024,4
THE OCTAGON,CECIL STREET,Office,3950000,2024-04-01,Strata,121.0,32645,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,1,5,01-05,2024,4
SOLITAIRE ON CECIL,CECIL STREET,Office,5369700,2024-04-01,Strata,119.0,45124,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2024,4
SOLITAIRE ON CECIL,CECIL STREET,Office,5780800,2024-04-01,Strata,128.0,45163,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2024,4
